,Unnamed: 0,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2
0,0,44054,100.0,0,9,9,1,0,39.89503,116.45163000000001,1,9,2.0,3,4,816,6,69,1,17,34,64,339,90,20,2010/8/25,91,9,9,10,10,10,9,1,0,0,9,7,2,0,0.85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,100213,96.53,0,4,4,1,0,40.68434,117.17231000000001,1,2,1.0,1,1,1203,1,0,1,0,0,0,0,2,0,2017/8/27,100,10,9,10,10,9,9,1,0,0,4,0,3,1,0.09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2,2,128496,100.0,0,1,1,1,0,39.93213,116.42200000000001,0,3,2.0,2,3,401,2,104,3,12,21,28,61,263,13,2011/6/2,97,10,10,10,10,10,10,0,0,0,1,1,0,0,2.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
3,3,161902,100.0,0,5,5,1,0,39.93357,116.43576999999999,1,2,1.0,1,1,387,1,0,1,0,0,0,262,26,0,2011/8/31,77,8,7,9,9,9,8,1,0,0,5,5,0,0,0.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
4,4,162144,100.0,0,5,5,1,0,39.936679999999996,116.43798000000001,1,4,1.0,1,2,553,1,0,1,16,43,73,348,37,2,2011/10/12,87,8,7,9,9,9,9,1,0,0,5,5,0,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5,5,279078,78.0,0,6,6,1,0,39.93958,116.43485,1,2,1.0,1,1,401,2,64,1,29,59,89,364,29,9,2012/2/11,82,8,8,8,8,9,8,1,0,1,6,5,1,0,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
6,6,282825,100.0,1,2,2,1,1,39.93712,116.45088999999999,1,4,2.0,2,3,657,2,0,3,0,0,18,24,110,18,2012/4/23,98,10,10,10,10,10,10,0,0,0,1,1,0,0,1.28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
7,7,287026,100.0,0,9,9,1,0,39.94115,116.44122,1,3,1.0,1,1,415,2,80,1,0,0,0,140,3,0,2011/12/23,100,9,7,7,9,8,8,0,0,0,9,8,1,0,0.03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
8,8,287511,100.0,0,9,9,1,0,39.94032,116.44227,1,3,1.0,1,1,415,2,80,1,0,0,0,0,37,0,2012/3/1,92,9,9,9,10,9,9,0,0,0,9,8,1,0,0.42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
9,9,317195,78.0,0,6,6,1,0,39.93946,116.43545,1,2,0.0,1,1,546,2,63,1,10,40,70,345,3,0,2013/9/4,60,7,7,5,7,8,7,1,0,1,6,5,1,0,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
