,Unnamed: 0,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1311,1311,13754281,100%,1,1.0,1.0,1,0,3,39.93269,116.49275,0,1,2,1.0,1,1.0,0,118.00,1,34.00,2,10,10,12,13,37,4,2016-07-17,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,1,0,1,0,1.07
1313,1313,13770112,100%,1,3.0,3.0,1,1,2,40.0007,116.34735,0,1,2,1.0,1,1.0,0,207.00,2,50.00,1,17,47,77,78,79,32,2016-07-18,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0,3,1,2,0,2.28
1314,1314,13788739,50%,0,2.0,2.0,1,0,3,39.89301,116.4636,0,1,2,1.0,1,1.0,0,360.00,1,0.00,1,29,59,89,364,12,0,2016-08-08,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0,2,0,0,2,0,2,0,0.35
1315,1315,13790186,67%,0,1.0,1.0,1,1,5,40.21534000000001,116.67372,0,0,8,4.0,4,4.0,0,"3,501.00",1,500.00,1,29,59,70,70,2,1,2018-01-11,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0,1,1,0,0,0.12
1316,1316,13792770,100%,0,1.0,1.0,1,1,9,39.80215,116.19548,0,0,10,3.0,5,5.0,0,"1,388.00",1,0.00,1,25,53,83,358,18,2,2016-07-22,94.0,10.0,9.0,10.0,10.0,9.0,10.0,1,0,2,0,0,1,1,0,0,0.52
1317,1317,13793038,100%,0,3.0,3.0,1,1,3,39.91626,116.44722,0,0,2,1.5,1,1.0,0,"1,238.00",2,500.00,2,17,21,39,130,25,7,2016-07-26,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0,1,1,0,0,0.73
1318,1318,13803803,100%,1,3.0,3.0,1,1,0,39.89369,116.41319,0,1,2,1.5,1,1.0,0,207.00,1,60.00,1,0,0,23,114,118,26,2016-08-11,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,1,0,0,3,1,2,0,3.49
1319,1319,13810411,100%,0,17.0,17.0,1,0,0,39.94307,116.40937,0,1,2,1.5,1,1.0,0,851.00,1,0.00,1,29,59,88,363,77,4,2016-07-05,90.0,10.0,9.0,10.0,10.0,10.0,9.0,1,0,0,0,0,17,4,13,0,2.2
1320,1320,13811285,100%,0,17.0,17.0,1,0,0,39.94251,116.40145,0,1,2,1.0,1,1.0,0,"1,120.00",2,100.00,1,24,54,84,359,84,21,2016-07-08,93.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,0,0,0,17,4,13,0,2.4
1321,1321,13812161,100%,0,17.0,17.0,1,0,0,39.94165,116.40225,0,1,6,1.0,1,2.0,0,"1,452.00",4,100.00,1,19,41,68,343,68,9,2016-07-06,91.0,9.0,9.0,10.0,10.0,10.0,9.0,1,0,0,0,0,17,4,13,0,1.94
