,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2
230,100.0,0,1,1,1,1,40.12925,116.59798,1,2,1.0,1,1,2,100,1,30,60,90,365,21,0,1280.0,89,9,9,9,9,9,9,0,0,0,1,1,0,0,0.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1639,100.0,0,2,2,1,1,39.93716,116.39702,0,2,1.0,1,1,1,0,1,29,59,89,180,6,0,871.0,88,10,10,10,10,10,9,1,0,0,2,0,2,0,0.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
9875,100.0,1,4,4,1,0,39.899409999999996,116.47996,0,1,2.0,1,1,1,0,1,30,60,90,365,16,16,214.0,99,10,9,10,10,10,10,0,0,0,4,0,0,4,2.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
3678,80.0,0,3,3,1,0,39.89765,116.46793999999998,1,1,1.0,1,1,1,50,1,29,59,89,364,1,0,504.0,100,10,10,10,10,10,10,0,0,0,3,0,3,0,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
12868,100.0,0,9,9,1,0,39.92699,116.32807,0,3,1.0,1,2,1,0,1,0,0,0,202,3,3,121.0,100,10,9,10,10,10,10,0,0,0,9,4,4,1,0.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
14717,98.0,0,51,51,1,0,39.937509999999996,116.36726999999999,0,2,1.0,1,1,1,0,1,27,57,87,88,3,3,38.0,100,10,10,10,10,10,9,1,0,0,51,4,0,47,2.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3809,96.53,0,1,1,1,0,39.90632,116.29418000000001,0,2,1.0,1,1,1,0,1,0,0,0,0,1,1,227.0,100,10,10,10,10,8,8,0,0,0,1,1,0,0,0.13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2609,96.53,1,3,3,1,0,39.96864,116.43515,0,2,1.0,1,1,1,0,2,0,0,0,0,23,5,698.0,98,10,10,10,10,10,10,1,0,0,3,0,2,1,0.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
96,100.0,1,1,1,1,0,39.91897,116.45598000000001,1,2,1.0,1,1,1,150,2,20,50,80,171,61,12,1585.0,99,10,10,10,10,10,10,0,0,0,1,1,0,0,1.15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
10113,96.53,0,1,1,1,0,39.88177,116.47809,1,2,1.0,1,1,1,0,3,0,0,0,0,1,1,227.0,100,10,10,10,10,10,10,1,0,0,1,0,0,1,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
15409,100.0,0,5,5,1,0,39.93024000000001,116.46363000000001,0,2,1.0,0,1,1,0,1,28,58,88,179,1,1,17.0,80,8,8,8,8,8,8,1,0,0,5,0,5,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2347,100.0,0,1,1,1,0,40.64747,117.26706999999999,0,4,1.0,2,2,1,0,1,29,59,89,364,1,0,604.0,100,10,8,10,10,10,10,0,0,0,1,1,0,0,0.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
4464,100.0,0,4,4,1,1,39.93988,116.44516000000002,1,2,1.0,1,1,1,0,3,0,0,0,240,22,9,514.0,95,10,9,10,10,10,10,1,0,0,2,0,2,0,1.28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
11541,100.0,0,22,22,1,0,39.92814,116.45533,1,2,1.0,1,1,1,0,1,29,59,62,62,3,3,172.0,100,10,10,10,10,10,10,0,0,0,22,22,0,0,0.52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
9921,100.0,0,17,17,1,0,39.90012,116.46933,1,2,1.0,1,1,1,0,1,26,56,86,361,1,1,45.0,100,10,10,10,10,10,10,0,0,0,17,15,2,0,0.65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
7635,100.0,0,10,10,1,0,39.86998,116.45175,1,7,1.0,2,5,7,60,1,29,59,89,90,1,1,239.0,100,10,6,10,10,10,10,0,0,0,10,7,2,1,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
17216,100.0,0,2,2,1,0,39.9313,116.40503000000001,0,4,1.0,2,2,1,50,1,21,51,81,356,1,1,3.0,100,10,10,10,10,10,10,1,0,0,2,2,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
10365,97.0,0,26,26,1,0,39.92018,116.44598,1,4,1.0,2,2,1,0,1,18,48,78,269,10,10,160.0,96,10,10,10,10,10,10,1,0,0,15,15,0,0,1.86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
15490,100.0,0,7,7,1,0,39.89665,116.41373,1,7,1.0,1,3,6,50,1,26,56,86,87,4,4,36.0,100,10,10,10,10,10,10,1,0,0,7,7,0,0,3.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
908,67.0,0,1,1,1,1,40.21534000000001,116.67371999999999,0,8,4.0,4,4,1,500,1,29,59,70,70,2,1,495.0,100,10,10,10,10,10,10,1,0,0,1,1,0,0,0.12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
7088,100.0,0,24,24,1,0,39.9369,116.43109,1,3,1.0,1,3,1,0,1,24,54,84,359,3,3,310.0,87,8,9,9,9,9,9,0,0,0,24,0,2,22,0.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
4534,96.53,1,3,3,1,1,40.44167,116.92806000000002,0,2,2.0,1,1,1,0,1,0,0,0,0,4,2,436.0,100,10,10,10,10,10,10,1,0,0,3,1,2,0,0.27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
14281,100.0,1,3,3,1,0,40.40862,116.55677,0,2,1.0,1,1,1,0,1,17,38,68,68,1,1,62.0,100,10,10,10,10,10,10,1,0,0,3,1,2,0,0.47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
16347,100.0,0,1,1,1,0,39.88006,116.66327,1,2,1.0,1,1,1,0,1,30,60,90,163,2,2,19.0,80,10,8,10,8,8,8,1,0,0,1,1,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
16693,100.0,0,6,6,1,0,40.426359999999995,116.56078000000001,1,6,1.5,2,2,1,0,1,20,40,62,121,1,1,17.0,100,8,10,10,10,10,10,1,0,0,6,1,5,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
