District,Latitude,Longtitude
0,116.416236,39.928354
1,116.36661,39.91253
2,116.298355,39.959871
3,116.44355,39.9219
4,116.84294,40.37627
5,16.66089,40.149936
6,116.631673,40.316318
7,116.2313,40.2207
8,116.728873,39.916414
9,116.28625,39.85848
10,116.14339,39.74905
11,116.34139,39.72682
12,115.97476,40.4572
13,116.22301,39.90659
14,116.102573,39.94048
15,117.123796,40.139684
