,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2,Distance,subwayDistance
1212,14977708,100.0,0,10,10,1,1,39.88514,116.52793,0,2,4.0,1,1,387,1,0,1,30,60,90,365,2,0,761,100,10,10,10,10,10,10,0,0,0,8,2,5,1,0.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,12.335999999999999,2.104
1213,14979247,40.0,0,7,7,1,1,39.92702,116.61876000000001,0,5,2.0,2,2,401,1,0,1,30,60,90,365,2,0,747,90,8,8,9,9,9,8,0,0,0,7,7,0,0,0.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,19.028,0.392
1214,14983169,100.0,0,22,22,1,0,39.99333,116.47288999999999,0,4,2.0,2,2,857,1,0,1,29,59,89,364,2,0,779,90,10,7,10,10,10,9,0,0,0,22,22,0,0,0.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,9.641,0.206
1215,14986438,100.0,0,5,5,1,1,39.92773,116.39545,0,3,1.0,1,1,795,2,100,1,11,40,67,342,190,75,977,93,9,9,9,10,10,9,1,0,0,3,1,2,0,5.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.251,0.957
1216,14986957,90.0,1,2,2,1,1,39.88523,116.4429,0,2,1.0,1,1,201,1,0,2,0,0,0,0,60,9,962,99,10,10,10,10,9,10,1,0,0,1,0,1,0,1.87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6.404,1.071
1217,14987126,0.0,0,2,2,1,1,40.00994,116.46781000000001,0,3,2.0,1,2,476,1,100,1,20,50,80,355,4,0,957,100,10,10,10,10,10,10,0,0,0,2,2,0,0,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,10.81,0.088
1218,14989692,100.0,0,18,18,1,1,39.90051,116.41816000000001,1,4,1.0,1,2,671,1,0,1,15,26,48,306,51,38,914,97,10,10,10,10,10,10,1,0,0,18,18,0,0,1.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.799,0.11
1219,14990260,100.0,0,1,1,1,1,39.90524,116.4062,0,2,1.0,1,1,201,1,0,1,0,19,49,324,6,0,960,100,10,10,10,10,10,10,0,0,0,1,0,1,0,0.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2.895,0.51
1220,14994464,96.53,0,1,1,1,1,39.9533,116.45407,0,1,1.0,1,1,207,1,0,1,30,60,90,91,5,0,942,100,10,10,10,10,10,10,0,0,0,1,0,1,0,0.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5.615,0.787
1221,14995621,71.0,0,2,2,1,1,39.9351,116.36533,0,2,1.0,1,2,187,1,0,1,23,46,76,350,12,4,961,97,10,10,10,10,10,10,0,0,0,2,0,2,0,0.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2.647,0.652
1222,14995627,71.0,0,2,2,1,1,39.93485,116.3653,0,2,1.0,1,1,353,1,0,1,0,29,59,334,49,5,971,90,9,9,10,10,10,9,0,0,0,2,0,2,0,1.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2.6430000000000002,0.654
1223,14997316,100.0,0,7,7,1,1,39.98854,116.47243,0,2,1.0,1,1,367,2,100,1,18,45,75,350,13,6,838,92,10,10,10,10,10,9,0,0,0,6,3,3,0,0.46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,9.232000000000001,0.356
1224,14997784,100.0,0,18,18,1,1,39.904920000000004,116.40092,1,4,1.0,1,2,671,1,0,1,6,19,49,322,76,36,890,98,10,9,10,10,10,10,1,0,0,18,18,0,0,2.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2.823,0.319
1225,15001154,100.0,1,1,1,1,1,40.04355,116.41475,0,4,2.0,2,3,367,1,0,2,27,50,79,354,54,22,961,99,10,10,10,10,9,10,1,0,0,1,1,0,0,1.68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,12.732000000000001,0.179
1226,15001447,96.53,0,6,6,1,0,39.93249,116.41479,0,8,2.0,2,4,996,6,69,1,0,0,0,0,4,0,935,95,10,9,10,10,10,10,0,0,0,5,3,2,0,0.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1.656,0.236
1227,15002211,100.0,0,6,6,1,1,39.90014,116.4738,0,4,1.0,1,1,470,1,88,1,28,58,88,363,109,45,960,96,10,10,10,10,10,9,1,0,0,5,2,3,0,3.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7.446000000000001,0.875
1228,15002527,100.0,0,7,7,1,1,39.894690000000004,116.49133,0,6,2.0,3,3,697,1,0,2,0,10,40,40,11,0,952,93,10,9,9,10,9,10,1,0,0,7,7,0,0,0.35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,9.056000000000001,0.335
1229,15009680,96.53,0,3,3,1,1,39.83173,116.36726000000002,0,5,1.0,2,2,415,1,0,1,0,0,0,0,1,0,976,100,10,10,10,10,8,10,0,0,0,3,1,2,0,0.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11.190999999999999,0.575
1230,15009746,100.0,1,2,2,1,0,39.92781,116.41998999999998,0,2,1.0,1,1,532,2,80,2,26,56,86,361,69,32,856,97,10,9,10,10,10,9,0,0,0,2,1,1,0,2.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2.09,0.438
1231,15012001,100.0,0,7,7,1,1,40.07248,116.41303,0,5,1.0,2,3,601,1,50,3,29,59,89,364,2,1,840,100,10,10,10,10,10,10,0,0,0,5,2,2,1,0.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,15.914000000000001,0.306
1232,15016002,100.0,0,4,4,1,1,39.97894,116.41278,0,11,2.0,6,6,1501,11,50,2,17,44,65,78,27,22,839,95,10,9,10,10,10,9,1,0,0,2,2,0,0,0.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5.636,0.453
1233,15026784,100.0,1,8,8,1,1,39.90994,116.49604,0,1,1.0,1,1,138,1,50,1,26,56,86,361,11,2,940,91,9,9,10,10,9,9,0,0,0,8,3,5,0,0.35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,8.847000000000001,0.141
1234,15029597,96.53,0,3,3,1,1,39.93439,116.4231,0,4,2.0,2,2,885,1,0,2,0,0,0,0,4,0,977,90,9,10,9,9,9,9,0,0,0,3,3,0,0,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2.392,0.515
1235,15030755,100.0,0,4,4,1,0,39.90524,116.44268999999998,0,7,1.0,3,3,802,1,80,1,27,57,87,88,18,0,942,99,10,10,10,10,10,10,1,0,0,1,1,0,0,0.57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4.865,0.499
