id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2,Distance
22678747,100,1,1,1,1,1,39.95172,116.3645,1,2,2,1,1,131,1,40,1,16,31,61,152,31,24,445,97,10,10,10,10,10,10,1,0,0,1,0,1,0,2.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3.59
22680048,100,0,28,28,1,0,39.92847,116.44422,0,4,2,1,1,698,2,50,1,26,56,86,334,41,39,491,94,9,9,10,10,10,9,1,0,0,9,9,0,0,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4.145
22680789,80,0,10,10,1,0,39.89562,116.47242,1,2,2,4,1,256,1,80,1,30,60,90,365,4,1,415,100,10,10,10,10,10,10,0,0,0,10,0,10,0,0.29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,7.582
22684931,96.53,0,1,1,1,0,39.89239,116.47855,0,1,1,1,1,111,1,0,1,0,0,0,0,2,0,483,100,10,10,10,10,10,10,1,0,0,1,0,0,1,0.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,8.214
22685566,100,0,13,13,1,1,39.9679,116.3261,0,6,1,3,4,685,6,100,1,25,55,85,176,7,6,479,91,9,9,9,9,10,9,1,0,0,10,10,0,0,0.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,7.274
22692016,90,0,26,26,1,1,39.92268,116.50514,1,4,1,2,2,526,1,0,1,30,60,90,365,6,2,484,88,10,8,9,9,10,9,0,0,0,22,22,0,0,0.37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,9.372
22693082,96.53,0,1,1,1,0,39.84215,116.37697,1,3,1,1,1,152,1,0,1,0,0,0,0,1,0,485,100,10,8,10,10,10,10,0,0,0,1,1,0,0,0.06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,9.896
22693264,70,0,6,6,1,0,40.6448,117.26597,0,2,1,1,1,325,1,0,1,0,0,0,0,1,0,450,100,10,10,10,10,10,10,1,0,0,6,3,3,0,0.07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,108.476
22693446,70,0,6,6,1,0,40.64508,117.26773,0,2,1,1,1,297,1,0,1,0,0,0,0,6,4,443,93,10,10,10,10,10,9,1,0,0,6,3,3,0,0.41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,108.6
22695962,100,1,7,7,1,0,39.90771,116.35463,0,4,1,2,2,552,4,50,1,23,53,83,358,7,5,399,97,9,10,10,10,10,10,1,0,0,7,7,0,0,0.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,4.286
22696723,100,0,75,75,1,0,39.91756,116.65656,0,3,2,1,2,367,1,0,1,29,59,89,364,2,0,479,100,9,10,10,10,9,10,0,0,0,75,72,3,0,0.13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,22.292
22697053,100,0,75,75,1,0,39.915,116.65103,0,2,1,1,1,367,1,0,1,27,57,87,178,18,14,450,90,9,9,9,10,9,9,0,0,0,75,72,3,0,1.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,21.842
22697866,100,0,4,4,1,0,39.88915,116.43688,1,5,1,2,3,498,1,0,1,26,56,86,87,10,10,314,86,9,8,9,9,9,9,1,0,0,4,4,0,0,0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5.744
22698507,100,0,27,27,1,0,39.97489,116.30187,0,2,1,1,1,692,1,50,1,26,43,52,327,42,26,492,94,10,9,10,10,10,9,1,0,0,25,25,0,0,2.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,9.425
22701491,96.53,0,1,1,1,1,39.98891,116.33523,0,1,1,1,1,118,1,0,1,0,0,0,0,2,0,465,100,10,10,10,10,10,10,0,0,0,1,0,1,0,0.13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,8.333
22705706,100,1,17,17,1,1,40.00817,116.41636,0,4,1,2,2,588,1,0,1,30,60,90,365,16,15,473,100,10,10,10,10,10,10,1,0,0,16,16,0,0,1.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,8.871
22706073,100,1,24,24,1,0,39.80625,116.45657,0,8,1,3,4,470,1,0,1,23,53,83,358,27,19,489,96,9,9,10,10,9,9,1,0,0,24,8,14,2,1.65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,14.709
22706970,100,0,75,75,1,0,39.9163,116.65976,1,2,1,1,1,270,1,0,1,30,60,90,365,3,0,482,67,7,10,10,7,7,7,0,0,0,75,72,3,0,0.19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,22.574
22707791,100,0,1,1,1,1,39.96551,116.3116,0,1,1,1,1,180,1,100,2,21,24,29,29,12,5,492,98,10,10,10,10,10,10,1,0,0,1,0,1,0,0.73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,8.181
22707984,100,0,3,3,1,1,39.94872,116.43712,0,3,1,1,1,643,1,60,2,0,0,0,0,1,0,456,100,10,10,10,10,10,10,0,0,0,2,2,0,0,0.07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4.104
22708107,100,0,4,4,1,0,39.88991,116.43612,1,3,1,1,2,332,1,0,1,17,43,73,74,20,16,454,93,9,9,9,10,9,10,0,0,0,4,4,0,0,1.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5.637
22708955,100,0,13,13,1,0,39.75762,116.50301,0,4,1,2,2,325,1,0,1,20,50,80,170,2,1,483,90,9,8,9,10,8,9,0,0,0,11,11,0,0,0.12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,21.245
22710809,90,0,1,1,1,0,39.87362,116.45513,0,2,1,1,1,249,2,50,1,1,25,55,146,34,29,478,89,9,9,10,9,10,9,1,0,0,1,1,0,0,2.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,8.064
22711878,100,0,1,1,1,0,39.92194,116.55249,0,1,1,1,1,186,1,0,1,12,32,62,337,31,20,456,99,10,10,10,10,10,10,1,0,0,1,0,1,0,2.03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,13.404
22719770,100,1,24,24,1,0,39.80654,116.45559,1,2,1,1,1,138,1,0,1,30,60,90,365,9,5,488,100,10,10,10,10,10,10,1,0,0,24,8,14,2,0.55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,14.649
22720184,100,1,24,24,1,0,39.80688,116.45488,1,2,1,1,1,117,1,0,1,15,45,75,350,16,14,487,94,9,9,9,10,9,9,1,0,0,24,8,14,2,0.98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,14.592
22720450,100,1,24,24,1,0,39.8073,116.45705,1,2,1,1,1,117,1,0,1,30,60,90,365,10,8,485,98,10,9,10,10,10,10,1,0,0,24,8,14,2,0.62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,14.614
22720968,96.53,0,1,1,1,0,39.63325,116.30068,0,2,1,1,1,228,1,0,1,0,0,0,0,1,0,479,100,10,10,10,10,10,10,1,0,0,1,1,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,33.979
22721592,90,0,3,3,1,0,40.04741,116.42859,0,6,2,2,2,401,1,0,3,30,60,90,365,2,0,473,100,10,10,10,10,8,8,0,0,0,3,3,0,0,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,13.355
22724526,98,0,22,22,1,1,39.93991,116.44719,0,2,1,1,1,477,1,0,1,29,59,89,364,3,2,443,100,10,10,10,10,9,9,1,0,0,21,21,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4.531
22725576,100,0,1,1,1,0,40.10837,116.14013,0,2,1,1,1,152,1,0,1,27,57,87,177,3,1,393,100,10,10,10,10,10,10,0,0,0,1,0,1,0,0.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,29.443
22726247,90,0,19,19,1,1,39.76304,116.34639,1,5,1,2,2,497,1,0,1,30,60,90,365,1,1,54,100,10,10,10,10,10,10,1,0,0,19,6,13,0,0.54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,19.034
22727212,90,0,19,19,1,1,39.76379,116.34664,0,6,1,2,3,497,1,0,1,27,57,87,362,1,1,228,100,10,10,6,10,8,8,1,0,0,19,6,13,0,0.13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,18.948
