,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2
2180,18130036,80.0,0,5,5,1,0,39.86528,116.4172,0,2,1.0,1,1,290,1,0,1,30,60,90,365,4,0,721.0,100,10,10,10,10,10,10,0,0,0,5,5,0,0,0.17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2181,18132195,100.0,0,7,7,1,1,39.95711,116.31587,0,1,1.0,1,1,97,1,99,1,30,60,90,365,21,8,770.0,95,10,9,10,10,10,10,0,0,0,7,0,1,6,0.82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2182,18133706,100.0,0,13,13,1,0,39.96975,116.3512,0,3,3.0,1,2,498,1,2000,1,0,0,0,0,3,0,610.0,93,9,10,9,10,10,9,0,0,0,10,0,3,7,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2183,18141562,94.0,0,33,33,1,1,39.97312,116.31531,1,2,1.0,1,1,401,1,0,1,29,59,89,364,7,0,766.0,77,8,7,9,9,9,7,0,0,0,33,33,0,0,0.27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2184,18146256,100.0,0,4,4,1,0,40.05128,116.41479,0,2,1.0,1,1,325,2,50,2,30,60,90,365,4,0,660.0,95,10,10,10,10,9,9,0,0,0,4,4,0,0,0.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2185,18146392,100.0,0,3,3,1,0,40.25772,116.35799,0,16,3.0,7,16,1678,1,0,1,26,56,86,176,7,2,738.0,100,10,10,10,10,9,10,0,0,0,3,3,0,0,0.28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2186,18148614,100.0,0,3,3,1,0,40.25795,116.35844,0,16,3.0,7,14,1678,1,0,1,27,57,87,87,4,1,454.0,100,10,10,10,10,10,10,0,0,0,3,3,0,0,0.26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2187,18148711,100.0,0,3,3,1,0,40.00898,116.59156000000002,0,6,1.0,1,2,891,1,0,1,30,60,90,365,8,5,716.0,94,9,9,10,10,9,9,1,0,0,3,3,0,0,0.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2188,18149500,100.0,0,3,3,1,0,39.88258,116.32946,0,2,1.0,1,1,228,1,0,1,29,59,89,364,20,8,589.0,96,10,10,10,10,10,10,1,0,0,2,2,0,0,1.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2189,18151077,98.0,0,97,97,1,1,39.92973,116.44313,0,2,1.0,1,1,297,2,100,1,22,52,82,95,114,61,765.0,95,10,10,10,10,10,9,1,0,0,20,19,1,0,4.46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
