Place,Longtitude,Latitude
BeijingRail,116.4271831512,39.9026913180
BeijingSouth,116.3790070000,39.8650110000
BeijingWest,116.3219547272,39.8945344408
BCIA,116.6003900000,40.0773300000
Shichahai,116.3844670000,39.9422090000
WangjingSOHO,116.4809131622,39.9963557437
YanqingIHE,115.9502160000,40.4438480000
ShiDu,115.5993200000,39.6381900000
Mutianyu,116.5645670000,40.4284470000
Sanlitun,116.4543600000,39.9350000000
